
1,1, Hot Chocolate,1.4
2,2, Cortado,2.05
3,2, Red Label tea,1.2
4,2,Large Cappuccino,2.45
5,2, Iced americano,2.15
6,2, Iced americano,2.15
7,3, Mocha,2.3
8,4, Frappes - Chocolate Cookie,2.75
9,4,Large Flavoured hot chocolate - Vanilla,2.9
10,5, Speciality Tea - Peppermint,1.3
11,5,Regular Filter coffee,1.5
12,5,Large Flavoured hot chocolate - Vanilla,2.9
13,6, Frappes - Strawberries & Cream,2.75
14,6,Large Cappuccino,2.45
15,7, Flavoured iced latte - Hazelnut,2.75
16,7, Mocha,2.3
17,7,Regular Flavoured hot chocolate - Vanilla,2.6
18,8, Iced latte,2.35
19,8, Glass of milk,0.7
20,8, Cortado,2.05
21,9, Speciality Tea - English breakfast,1.3
22,9,Large Cappuccino,2.45
23,9, Flavoured iced latte - Hazelnut,2.75
24,9,Large Americano,2.25
25,9, Frappes - Strawberries & Cream,2.75
26,10,Regular Flavoured hot chocolate - Caramel,2.6
27,10,Regular Flavoured latte - Hazelnut,2.55
28,10, Flavoured iced latte - Hazelnut,2.75
29,10, Speciality Tea - English breakfast,1.3
30,11, Speciality Tea - Green,1.3
31,11, Speciality Tea - Peppermint,1.3
32,11, Flat white,2.15
33,12, Speciality Tea - Camomile,1.3
34,12,Large Latte,2.45
35,12, Iced americano,2.15
36,12,Large Flavoured hot chocolate - Caramel,2.9
37,12, Iced americano,2.15
38,13,Regular Americano,1.95
39,13, Frappes - Chocolate Cookie,2.75
40,13,Large Flavoured hot chocolate - Vanilla,2.9
41,14,Regular Hot chocolate,2.2
42,14, Cortado,2.05
43,14,Regular Filter coffee,1.5
44,14, Glass of milk,0.7
45,15,Regular Flavoured latte - Gingerbread,2.55
46,15,Regular Flavoured latte - Hazelnut,2.55
47,15, Babyccino,0.0
48,15,Large Flavoured hot chocolate - Hazelnut,2.9
49,15, Flavoured iced latte - Vanilla,2.75
50,16, Iced americano,2.15
51,17, Cortado,2.05
52,18, Speciality Tea - Green,1.3
53,18, Speciality Tea - Camomile,1.3
54,19,Large Flavoured hot chocolate - Vanilla,2.9
55,20, Cortado,2.05
56,21, Flat white,2.15
57,21, Flavoured iced latte - Hazelnut,2.75
58,22,Regular Flavoured latte - Vanilla,2.55
59,22,Regular Chai latte,2.3
60,23,Large Chai latte,2.6
61,23, Smoothies - Carrot Kick,2.0
62,23,Large Flavoured latte - Gingerbread,2.85
63,23, Iced latte,2.35
64,23,Large Chai latte,2.6
65,24, Speciality Tea - Fruit,1.3
66,25, Frappes - Chocolate Cookie,2.75
67,25, Speciality Tea - Green,1.3
68,25, Frappes - Coffee,2.75
69,25, Mocha,2.3
70,25, Smoothies - Carrot Kick,2.0
71,26,Large Flavoured hot chocolate - Hazelnut,2.9
72,27,Large Espresso,1.8
73,27, Speciality Tea - Camomile,1.3
74,28,Regular Americano,1.95
75,28, Speciality Tea - Camomile,1.3
76,29,Large Americano,2.25
77,29, Smoothies - Carrot Kick,2.0
78,29,Regular Flavoured hot chocolate - Hazelnut,2.6
79,30,Regular Flavoured hot chocolate - Caramel,2.6
80,30,Regular Flavoured latte - Vanilla,2.55
81,31,Regular Flavoured latte - Vanilla,2.55
82,31, Cortado,2.05
83,31, Speciality Tea - English breakfast,1.3
84,31,Large Chai latte,2.6
85,32,Large Espresso,1.8
86,33, Speciality Tea - Earl Grey,1.3
87,33,Regular Flavoured hot chocolate - Caramel,2.6
88,33, Frappes - Chocolate Cookie,2.75
89,33,Regular Flavoured hot chocolate - Hazelnut,2.6
90,33,Regular Chai latte,2.3
91,34, Speciality Tea - Green,1.3
92,34,Large Flavoured hot chocolate - Caramel,2.9
93,34, Speciality Tea - Camomile,1.3
94,34, Speciality Tea - English breakfast,1.3
95,35, Frappes - Chocolate Cookie,2.75
96,36, Speciality Tea - Earl Grey,1.3
97,36, Cortado,2.05
98,36,Regular Flavoured hot chocolate - Caramel,2.6
99,36, Iced americano,2.15
100,37, Iced americano,2.15
101,37, Flavoured iced latte - Caramel,2.75
102,37, Speciality Tea - Fruit,1.3
103,38, Mocha,2.3
104,38, Flat white,2.15
105,38,Regular Chai latte,2.3
106,38,Large Flavoured latte - Gingerbread,2.85
107,38,Regular Flavoured latte - Vanilla,2.55
108,39,Large Flavoured latte - Caramel,2.85
109,40,Regular Flavoured hot chocolate - Hazelnut,2.6
110,40, Speciality Tea - Green,1.3
111,40,Large Espresso,1.8
112,41, Iced latte,2.35
113,42,Large Luxury hot chocolate,2.7
114,43,Regular Filter coffee,1.5
115,43, Iced latte,2.35
116,43, Flavoured iced latte - Caramel,2.75
117,43,Regular Filter coffee,1.5
118,44,Large Espresso,1.8
119,45, Flavoured iced latte - Hazelnut,2.75
120,45,Regular Chai latte,2.3
121,46,Large Flavoured latte - Gingerbread,2.85
122,47,Large Chai latte,2.6
123,48, Hot Chocolate,1.4
124,48, Frappes - Chocolate Cookie,2.75
125,48,Regular Flavoured hot chocolate - Hazelnut,2.6
126,48, Speciality Tea - Camomile,1.3
127,49,Regular Flavoured hot chocolate - Hazelnut,2.6
128,50,Large Flavoured hot chocolate - Hazelnut,2.9
129,50, Cortado,2.05
130,51, Smoothies - Berry Beautiful,2.0
131,51, Flat white,2.15
132,51,Regular Flavoured hot chocolate - Hazelnut,2.6
133,51,Regular Filter coffee,1.5
134,52,Regular Latte,2.15
135,52,Regular Espresso,1.5
136,52,Regular Hot chocolate,2.2
137,53,Regular Flavoured latte - Hazelnut,2.55
138,53, Iced americano,2.15
139,53, Frappes - Strawberries & Cream,2.75
140,54, Red Label tea,1.2
141,54,Regular Flavoured latte - Caramel,2.55
142,54, Speciality Tea - Earl Grey,1.3
143,54, Speciality Tea - Darjeeling,1.3
144,54, Iced americano,2.15
145,55,Regular Flavoured hot chocolate - Caramel,2.6
146,56, Cortado,2.05
147,56, Speciality Tea - English breakfast,1.3
148,57,Regular Hot chocolate,2.2
149,57,Large Flavoured latte - Gingerbread,2.85
150,57, Speciality Tea - Green,1.3
151,58, Glass of milk,0.7
